ts,chain,token,disp_pct,z,cheap_dex,rich_dex,min_tvl,whale
2026-06-20T10:42:52.287258+00:00,solana,SOL,100.1541,,meteora,orca,3168263,1
2026-06-20T10:42:52.287258+00:00,base,AERO,0.5487,,aerodrome,uniswap,334014,1
2026-06-20T10:42:52.287258+00:00,base,CBBTC,0.48,,uniswap,aerodrome,706004,1
2026-06-20T10:44:32.330944+00:00,base,AERO,0.6509,,aerodrome,uniswap,334014,1
2026-06-20T10:46:10.846672+00:00,solana,HYPE,0.3118,,meteora,meteora,256663,1
2026-06-20T10:46:10.846672+00:00,base,AERO,0.9615,,aerodrome,aerodrome,554234,1
2026-06-20T10:47:49.852943+00:00,solana,HYPE,0.6406,,orca,meteora,336918,1
2026-06-20T10:51:08.788305+00:00,solana,SOL,0.3919,,raydium,raydium,4036699,1
2026-06-20T10:51:08.788305+00:00,base,WETH,0.7421,,uniswap,quickswap,377485,1
2026-06-20T10:52:47.641665+00:00,solana,SOL,0.5606,,raydium,raydium,560179,1
2026-06-20T10:52:47.641665+00:00,base,WETH,0.7502,,uniswap,aerodrome,266807,1
2026-06-20T10:54:27.296253+00:00,solana,SOL,0.6167,,raydium,raydium,560179,1
2026-06-20T12:18:17.706180+00:00,solana,MET,1.3643,3.31,meteora,meteora,260416,0
2026-06-20T12:18:17.706180+00:00,base,WETH,0.9206,1.75,uniswap,0x03C01Acae3D0173a93d819efDc832C7C4F153B06,387410,1
2026-06-20T12:18:17.706180+00:00,base,VVV,0.4096,-1.45,aerodrome,uniswap,546744,1
2026-06-20T12:18:17.706180+00:00,base,WSTETH,0.3846,16.51,aerodrome,aerodrome,584729,0
2026-06-20T12:18:17.706180+00:00,base,CBBTC,0.3664,-30.21,uniswap,uniswap,3226215,1
2026-06-20T12:19:55.568104+00:00,base,WETH,0.9206,1.65,uniswap,0x03C01Acae3D0173a93d819efDc832C7C4F153B06,387410,1
2026-06-20T12:19:55.568104+00:00,base,FBOMB,0.8333,3.0,aerodrome,aerodrome,1110835,0
2026-06-20T12:19:55.568104+00:00,base,AERO,0.5095,-1.44,aerodrome,aerodrome,556030,1
2026-06-20T12:19:55.568104+00:00,base,WSTETH,0.3959,3.25,aerodrome,aerodrome,584729,0
2026-06-20T12:19:55.568104+00:00,base,CBBTC,0.3664,-2.93,uniswap,uniswap,3226215,1
2026-06-20T12:21:33.842096+00:00,solana,TRIPLET,1.1792,,meteora,pumpswap,275903,1
2026-06-20T12:21:33.842096+00:00,solana,SOL,0.6984,0.0,orca,raydium,2441857,1
2026-06-20T12:21:33.842096+00:00,base,WETH,0.9206,0.39,uniswap,0x03C01Acae3D0173a93d819efDc832C7C4F153B06,387410,1
2026-06-20T12:21:33.842096+00:00,base,CBBTC,0.3664,-2.32,uniswap,uniswap,3226215,1
2026-06-20T12:21:33.842096+00:00,base,VVV,0.3411,-1.7,aerodrome,uniswap,546744,1
2026-06-20T12:23:11.396577+00:00,solana,TRIPLET,1.1792,,meteora,pumpswap,275903,1
2026-06-20T12:23:11.396577+00:00,base,CBBTC,0.3671,-2.08,uniswap,aerodrome,705767,1
2026-06-20T12:24:49.328776+00:00,solana,TRIPLET,0.8658,,pumpswap,meteora,277258,1
2026-06-20T12:24:49.328776+00:00,base,CBBTC,0.3676,-1.97,uniswap,aerodrome,705768,1
2026-06-20T12:26:26.696008+00:00,base,WETH,0.9206,0.39,uniswap,0x03C01Acae3D0173a93d819efDc832C7C4F153B06,387410,1
2026-06-20T12:26:26.696008+00:00,base,CBBTC,0.368,-1.91,uniswap,aerodrome,705770,1
2026-06-20T12:28:04.576163+00:00,solana,TRIPLET,1.0179,,pumpswap,meteora,277258,1
2026-06-20T12:28:04.576163+00:00,base,WETH,0.9206,0.4,uniswap,0x03C01Acae3D0173a93d819efDc832C7C4F153B06,387410,1
2026-06-20T12:28:04.576163+00:00,base,VIRTUAL,0.3781,-0.85,uniswap,uniswap,898977,1
2026-06-20T12:28:04.576163+00:00,base,CBBTC,0.368,-1.89,uniswap,aerodrome,705770,1
